Company name;Fixed assets 2018;Fixed assets 2017;Fixed assets 2016;Intangible fixed assets 2018;Intangible fixed assets 2017;Intangible fixed assets 2016;Tangible fixed assets 2018;Tangible fixed assets 2017;Tangible fixed assets 2016;Other fixed assets 2018;Other fixed assets 2017;Other fixed assets 2016;Current assets 2018;Current assets 2017;Current assets 2016;Stock 2018;Stock 2017;Stock 2016;Debtors 2018;Debtors 2017;Debtors 2016;Other current assets 2018;Other current assets 2017;Other current assets 2016;Cash & cash equivalent 2018;Cash & cash equivalent 2017;Cash & cash equivalent 2016;Total assets 2018;Total assets 2017;Total assets 2016;Shareholders funds 2018;Shareholders funds 2017;Shareholders funds 2016;Capital 2018;Capital 2017;Capital 2016;Other shareholders funds 2018;Other shareholders funds 2017;Other shareholders funds 2016;Non-current liabilities 2018;Non-current liabilities 2017;Non-current liabilities 2016;Long term debt 2018;Long term debt 2017;Long term debt 2016;Other non-current liabilities 2018;Other non-current liabilities 2017;Other non-current liabilities 2016;Provisions 2018;Provisions 2017;Provisions 2016;Current liabilities 2018;Current liabilities 2017;Current liabilities 2016;Loans 2018;Loans 2017;Loans 2016;Creditors 2018;Creditors 2017;Creditors 2016;Other current liabilities 2018;Other current liabilities 2017;Other current liabilities 2016;Total shareh. funds & liab. 2018;Total shareh. funds & liab. 2017;Total shareh. funds & liab. 2016;NACE Rev. 2 primary code;NACE Rev. 2, primary code description;MORE evaluation - Score 2018;MORE evaluation - Score 2017;MORE evaluation - Score 2016
WAIBEL BETON LAMPERTHEIM GMBH & CO. KG;156;165;160;0;0;0;156;165;160;0;0;0;2018;1842;1599;31;23;115;0;0;0;1987;1819;1484;413;307;276;2174;2008;1759;450;450;450;450;450;450;0;0;0;92;1558;66;0;1473;0;92;85;66;92;85;66;1631;0;1243;0;n.a.;0;0;n.a.;0;1631;n.a.;1243;2174;2008;1759;2363;Manufacture of ready-mixed concrete;BBB;BBB;BBB
LOEWENROT-GYMNASIUM IN FREIER TRAEGERSCHAFT GGMBH;15132;15859;16637;41;48;74;15091;15811;16563;0;0;0;2849;2281;1496;45;135;123;14;9;15;2790;2138;1358;2571;1891;1162;17981;18140;18133;16752;17288;8579;26;26;26;16726;17262;8553;976;510;8729;52;0;8632;924;510;97;924;510;97;253;342;825;0;0;548;85;128;71;168;214;207;17981;18140;18133;8531;General secondary education;BB;AA;BB
DOCS INTERNATIONAL GERMANY GMBH;30000;30010;30021;0;0;0;0;10;21;30000;30000;30000;10910;20963;12253;0;0;0;128;362;857;10782;20601;11396;185;234;367;40910;50973;42274;1076;3085;-6302;25;25;25;1051;3060;-6327;30276;45337;45394;30000;45000;45000;276;337;394;276;337;394;9558;2552;3182;0;0;0;6;0;0;9552;2552;3182;40910;50973;42274;7820;Temporary employment agency activities;CCC;CCC;CCC
M-TEC GMBH;672;1174;1463;12;13;26;660;1161;1437;0;0;0;2591;2535;1875;421;439;470;0;0;0;2170;2096;1405;228;627;763;3263;3710;3338;2479;2389;2015;165;165;165;2314;2224;1850;784;517;325;551;0;0;232;517;325;232;517;325;0;804;998;n.a.;0;0;n.a.;0;0;n.a.;804;998;3263;3710;3338;2400;Manufacture of basic metals;BBB;BBB;BBB
CHANNEL PILOT SOLUTIONS GMBH;1051;595;70;1002;545;6;50;49;65;0;0;0;636;401;483;0;0;0;530;349;337;107;53;146;73;30;121;1688;996;553;-261;-726;-868;33;33;33;-294;-759;-901;1557;1476;1246;1495;1415;1200;62;61;46;62;61;46;392;246;175;7;3;1;260;101;57;125;141;116;1688;996;553;6201;Computer programming activities;CCC;CCC;CCC
JULIUS MEINL DEUTSCHLAND GMBH;332;302;191;18;0;0;314;302;191;0;0;0;2020;1817;1651;187;163;207;0;0;0;1832;1654;1444;679;408;375;2351;2119;1842;1017;884;797;1074;1074;1074;-57;-190;-276;246;200;90;0;0;0;246;200;90;246;200;90;1089;1035;955;n.a.;0;0;n.a.;0;0;8;1035;955;2351;2119;1842;4637;Wholesale of coffee, tea, cocoa and spices;BBB;BBB;BBB
MUSTERKNABEN EG;424;732;1023;17;0;0;366;732;1023;40;0;1;1317;1246;1193;0;0;0;701;600;675;616;646;519;530;620;494;1740;1978;2217;951;773;518;585;555;520;367;217;-2;123;461;813;22;325;535;101;136;278;101;136;278;666;744;886;300;306;403;119;85;105;247;352;378;1740;1978;2217;8299;Other business support service activities nec;BBB;BBB;BB
EXKLUSIV WOHNBAU REUTLINGEN GMBH;67;79;36;3;1;0;63;78;36;0;0;0;8266;3532;1499;3303;3101;1205;0;0;0;4963;431;294;3018;181;159;8332;3612;1535;25;25;25;25;25;25;0;0;0;8307;3587;1510;8268;3533;1459;39;53;51;39;53;51;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;8332;3612;1535;4110;Development of building projects;B;CC;B
REINHARDT SYSTEM- UND MESSELECTRONIC GMBH;489;554;248;3;6;12;485;548;236;0;0;0;3953;3593;5471;210;207;161;0;0;0;3743;3386;5311;3679;3085;4981;4441;4147;5719;3850;3399;5115;51;51;51;3799;3348;5064;510;746;485;311;346;0;199;401;485;199;401;485;82;2;119;0;0;n.a.;0;0;n.a.;82;2;1;4441;4147;5719;2651;Manufacture of instruments and appliances for measuring, testing and navigation;BBB;BBB;BBB
ENTELIOS AG;162;436;1199;13;205;804;149;231;396;0;0;0;3455;3608;2115;0;0;0;0;0;0;3455;3608;2115;1742;306;585;3617;4044;3314;-1725;255;-15486;94;94;94;-1819;161;-15580;2747;966;644;0;0;0;2747;966;644;2747;966;644;2595;2823;18156;0;0;0;0;0;0;2595;2823;18156;3617;4044;3314;3500;Electricity, gas, steam and air conditioning supply;CCC;BB;CC
